source,target,source_scenario,target_scenario,source_valuation,source_price,source_upside,target_valuation,target_price,target_upside,decision,score
گکوثر,رنیک,بدبینانه,بدبینانه,1316888.1251443417,2237,58768.49017185256,15821834.778561147,18620,84872.25982041431,تخصیص,26103.769648561756
گکوثر,قشیر,خوشبینانه,خوشبینانه,2179163.4684104286,2237,97314.54932545501,307776.42186379083,8780,3405.426217127458,نگهداری,-93909.12310832755
گکوثر,قشیر,خوشبینانه,خنثی,2179163.4684104286,2237,97314.54932545501,307070.2883047056,8780,3397.3836936754624,نگهداری,-93917.16563177954
گکوثر,قشیر,خوشبینانه,بدبینانه,2179163.4684104286,2237,97314.54932545501,306657.2912491481,8780,3392.6798547738963,نگهداری,-93921.86947068111
گکوثر,قشیر,خنثی,خوشبینانه,1635666.628093287,2237,73018.75852003966,307776.42186379083,8780,3405.426217127458,نگهداری,-69613.3323029122
گکوثر,قشیر,خنثی,خنثی,1635666.628093287,2237,73018.75852003966,307070.2883047056,8780,3397.3836936754624,نگهداری,-69621.37482636419
گکوثر,قشیر,خنثی,بدبینانه,1635666.628093287,2237,73018.75852003966,306657.2912491481,8780,3392.6798547738963,نگهداری,-69626.07866526576
گکوثر,قشیر,بدبینانه,خوشبینانه,1316888.1251443417,2237,58768.49017185256,307776.42186379083,8780,3405.426217127458,نگهداری,-55363.0639547251
گکوثر,قشیر,بدبینانه,خنثی,1316888.1251443417,2237,58768.49017185256,307070.2883047056,8780,3397.3836936754624,نگهداری,-55371.1064781771
گکوثر,قشیر,بدبینانه,بدبینانه,1316888.1251443417,2237,58768.49017185256,306657.2912491481,8780,3392.6798547738963,نگهداری,-55375.81031707866
گکوثر,زدشت,خوشبینانه,خوشبینانه,2179163.4684104286,2237,97314.54932545501,1350631.4202563248,30450,4335.571166687438,نگهداری,-92978.97815876757
گکوثر,زدشت,خوشبینانه,خنثی,2179163.4684104286,2237,97314.54932545501,1344692.657272534,30450,4316.067839975481,نگهداری,-92998.48148547953
گکوثر,زدشت,خوشبینانه,بدبینانه,2179163.4684104286,2237,97314.54932545501,1341219.290286321,30450,4304.661051843418,نگهداری,-93009.88827361159
گکوثر,زدشت,خنثی,خوشبینانه,1635666.628093287,2237,73018.75852003966,1350631.4202563248,30450,4335.571166687438,نگهداری,-68683.18735335222
گکوثر,زدشت,خنثی,خنثی,1635666.628093287,2237,73018.75852003966,1344692.657272534,30450,4316.067839975481,نگهداری,-68702.69068006417
گکوثر,زدشت,خنثی,بدبینانه,1635666.628093287,2237,73018.75852003966,1341219.290286321,30450,4304.661051843418,نگهداری,-68714.09746819624
